Station_Name,Province,City,Cnty,Station_Id_d,Station_Id_C,Station_levl,Lat,Lon,Alti,Year,Mon,Day,Hour,Min,PRS_Sea,WIN_S_INST,WIN_D_INST,WIN_S_Avg_2mi,WIN_D_Avg_2mi,GST,TEM,RHU,PRE,DPT,timetag
封丘陈桥,河南省,新乡市,封丘县,793877,O3877,14,34.9453,114.4839,80,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
燕山,河南省,平顶山市,叶县,796312,O6312,14,33.4256,113.3075,134,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
封丘东湖志愿观测站,河南省,新乡市,封丘县,793891,O3891,14,34.9414,114.5003,69.2,2021,7,20,8,30,999999,2.7,23,3.4,24,999999,23.4,99,999999,23.2,202107200830
堂街,河南省,平顶山市,郏县,796267,O6267,14,33.9081,113.2322,120.5,2021,7,20,8,30,999999,1.4,116,1.5,115,999999,28.4,999999,999999,999999,202107200830
王召,河南省,焦作市,沁阳市,794019,O4019,14,35.0558,112.9719,115.4,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
祥云公园,河南省,平顶山市,新华区,796367,O6367,14,33.7483,113.2581,125,2021,7,20,8,30,999999,0,86,0.3,72,999999,28.9,98,999999,28.6,202107200830
长垣孟岗,河南省,新乡市,长垣市,793935,O3935,14,35.18,114.7569,66,2021,7,20,8,30,999999,0,168,0,172,999999,23.8,999999,999999,999999,202107200830
刘寨,河南省,鹤壁市,淇滨区,792073,O2073,14,35.6719,114.2936,76,2021,7,20,8,30,999999,4.8,335,4.8,347,999999,23.3,999999,999999,999999,202107200830
桂林,河南省,安阳市,林州市,792003,O2003,16,35.9336,113.8994,343,2021,7,20,8,30,999999,1.4,270,1.1,261,999999,20.9,96,999999,20.2,202107200830
绿城广场,河南省,郑州市,中原区,795128,O5128,14,34.7478,113.6189,133,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
王庄,河南省,鹤壁市,浚县,792067,O2067,14,35.7592,114.5742,58,2021,7,20,8,30,999999,2.4,16,3.2,17,999999,24,999999,999999,999999,202107200830
郑州,河南省,郑州市,市辖区,57083,57083,12,34.7064,113.6628,110.4,2021,7,20,8,30,1006.8,999998,999998,2.5,297,23.9,23.7,100,3.1,23.7,202107200830
舞阳舞泉,河南省,漯河市,舞阳县,796439,O6439,14,33.4286,113.6483,79,2021,7,20,8,30,999999,1.6,116,1.8,102,999999,28,999999,999999,999999,202107200830
舞阳保和,河南省,漯河市,舞阳县,796433,O6433,14,33.4931,113.5228,74,2021,7,20,8,30,999999,0.4,295,0.3,291,999999,27.6,999999,999999,999999,202107200830
晋城南畔,山西省,晋城市,晋城城区,668547,B8547,14,35.5108,112.7689,838,2021,7,20,8,30,999999,5.2,60,4,65,999999,19.2,98,999999,18.9,202107200830
石象刘沙沃,河南省,许昌市,长葛市,792340,O2340,16,34.1919,113.9397,51,2021,7,20,8,30,999999,2.9,93,3.2,93,999999,28.3,92,999999,26.9,202107200830
同力,河南省,鹤壁市,市辖区,792071,O2071,14,35.8675,114.1675,181,2021,7,20,8,30,999999,999999,999999,1.7,351,999999,22,999999,999999,999999,202107200830
城关,河南省,周口市,淮阳区,796694,O6694,14,33.6822,114.8258,47,2021,7,20,8,30,999999,3.4,175,3.8,154,999999,30.4,999999,999999,999999,202107200830
尉氏,河南省,开封市,尉氏县,57094,57094,13,34.405,114.225,67.4,2021,7,20,8,30,1005.1,999998,999998,3.5,78,27.7,27,100,0,27,202107200830
赵堡,河南省,焦作市,温县,794102,O4102,14,34.9739,113.1681,103,2021,7,20,8,30,999999,9.5,53,6.1,51,999999,22.1,999999,999999,999999,202107200830
武陟,河南省,焦作市,武陟县,53987,53987,13,35.1053,113.3578,94.5,2021,7,20,8,30,1006.9,999998,999998,7.6,56,22.1,22,100,0.1,22,202107200830
川汇,河南省,周口市,川汇区,57195,57195,13,33.6117,114.6317,46.6,2021,7,20,8,30,1005,999998,999998,2.4,100,32.8,31,83,0,27.8,202107200830
塔山,河南省,郑州市,荥阳市,792240,O2240,14,34.6486,113.3933,247,2021,7,20,8,30,999999,2,160,1.6,105,999999,23.4,100,999999,23.4,202107200830
郑州大营,河南省,郑州市,市辖区,792270,O2270,16,34.4719,114.0508,88,2021,7,20,8,30,999999,6,259,4.8,259,999999,26,100,999999,26,202107200830
化河,河南省,周口市,商水县,796726,O6726,14,33.4903,114.6225,45.8,2021,7,20,8,30,999999,1.8,95,2,94,999999,29.5,999999,999999,999999,202107200830
叶县,河南省,平顶山市,叶县,57184,57184,13,33.6289,113.2983,97.5,2021,7,20,8,30,1005.7,999998,999998,1.5,166,28.5,27.8,100,0,27.8,202107200830
封丘赵岗,河南省,新乡市,封丘县,793841,O3841,14,35.1267,114.5769,80,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
岳滩镇,河南省,洛阳市,偃师区,792213,O2213,14,34.6897,112.7219,131,2021,7,20,8,30,999999,3.7,80,3.3,77,999999,22.6,999999,999999,999999,202107200830
辉县六台山,河南省,新乡市,辉县市,793609,O3609,14,35.5808,113.7458,167,2021,7,20,8,30,999999,9.4,13,6.4,12,999999,21.3,93,999999,20.1,202107200830
长垣孟岗镇,河南省,新乡市,长垣市,793918,O3918,14,35.1781,114.275,71,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
白庙,河南省,平顶山市,郏县,796270,O6270,14,34.01,113.24,119.8,2021,7,20,8,30,999999,0,130,0.1,144,999999,27.6,999999,999999,999999,202107200830
龙翔,河南省,焦作市,中站区,794206,O4206,14,35.2658,113.1303,279,2021,7,20,8,30,999999,6.1,54,6.3,53,999999,22.3,999999,999999,999999,202107200830
新安石井,河南省,洛阳市,新安县,792201,O2201,16,34.9767,112.1178,326,2021,7,20,8,30,999999,0,202,0.3,213,999999,21.9,100,999999,21.9,202107200830
滑县,河南省,安阳市,滑县,53995,53995,13,35.5233,114.4519,62.1,2021,7,20,8,30,1008.9,999998,999998,0.8,33,24.5,24.5,100,0.1,24.5,202107200830
舞阳章化,河南省,漯河市,舞阳县,796436,O6436,14,33.6589,113.6308,65,2021,7,20,8,30,999999,3.4,51,3.4,45,999999,28.5,999999,999999,999999,202107200830
晋城西掩,山西省,晋城市,晋城城区,668529,B8529,14,35.5478,112.7936,847,2021,7,20,8,30,999999,2.5,51,3.4,24,999999,18.9,999999,999999,999999,202107200830
郑州春藤路小学,河南省,郑州市,中原区,795161,O5161,999999,34.8067,113.5403,101,2021,7,20,8,30,999999,1.4,9,1.6,8,999999,23.4,999999,999999,999999,202107200830
冯庄,河南省,开封市,通许县,792275,O2275,14,34.5422,114.4561,66,2021,7,20,8,30,999999,5.1,49,4.1,67,999999,26.5,999999,999999,999999,202107200830
田口,河南省,周口市,西华县,796587,O6587,14,33.8414,114.5497,54,2021,7,20,8,30,999999,1.7,107,2.1,67,999999,30.1,999999,999999,999999,202107200830
罗店,河南省,驻马店市,汝南县,797841,O7841,14,33.0636,114.1236,64,2021,7,20,8,30,999999,1.9,88,1.4,73,999999,29.6,84,999999,26.6,202107200830
东王营,河南省,周口市,西华县,796593,O6593,14,33.7144,114.6303,51,2021,7,20,8,30,999999,2.2,77,2.6,66,999999,30.6,999999,999999,999999,202107200830
翟镇镇,河南省,洛阳市,偃师区,794741,O4741,999999,34.6764,112.6703,113,2021,7,20,8,30,999999,4.6,48,6,49,999999,22.9,999999,999999,999999,202107200830
拾区,河南省,新乡市,市辖区,792100,O2100,16,34.9606,113.7481,89,2021,7,20,8,30,999999,3,41,2.3,38,999999,22.9,99,999999,22.7,202107200830
二安,河南省,安阳市,内黄县,793132,O3132,14,35.8331,114.6436,60,2021,7,20,8,30,999999,1.7,35,1.3,34,999999,24.3,999999,999999,999999,202107200830
朱里,河南省,驻马店市,上蔡县,797686,O7686,14,33.4031,114.4172,53,2021,7,20,8,30,999999,1.7,91,2.6,98,999999,30.6,999999,999999,999999,202107200830
伊川范店水库,河南省,洛阳市,伊川县,794769,O4769,14,34.45,112.2964,349,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
万隆,河南省,开封市,祥符区,795374,O5374,14,34.6017,114.4306,69,2021,7,20,8,30,999999,1.7,49,1.7,43,999999,26.2,999999,999999,999999,202107200830
东安村,河南省,焦作市,武陟县,792147,O2147,14,35.0878,113.3658,97,2021,7,20,8,30,999999,999999,999999,6.7,54,999999,20.9,999999,999999,999999,202107200830
槐树,河南省,驻马店市,遂平县,797636,O7636,14,33.2553,113.7278,100,2021,7,20,8,30,999999,2.8,122,2.5,116,999999,27.8,999999,999999,999999,202107200830
孟津双槐,河南省,洛阳市,孟津区,792207,O2207,16,34.8122,112.6811,130,2021,7,20,8,30,999999,1,92,1.9,79,999999,22.4,100,999999,22.4,202107200830
花庄,河南省,驻马店市,遂平县,797633,O7633,14,33.1175,113.7853,88,2021,7,20,8,30,999999,1.3,40,1.4,40,999999,28,999999,999999,999999,202107200830
南岭公园,河南省,洛阳市,孟津区,792208,O2208,14,34.8153,112.4406,333.3,2021,7,20,8,30,999999,6.2,45,6.8,40,999999,21.3,999999,999999,999999,202107200830
谷旦,河南省,焦作市,孟州市,793986,O3986,999999,34.9894,112.8089,115,2021,7,20,8,30,999999,6.1,57,6.3,64,999999,22.3,100,999999,22.3,202107200830
孙营,河南省,开封市,通许县,795229,O5229,14,34.4797,114.4131,70,2021,7,20,8,30,999999,2.7,77,2.8,55,999999,26.6,97,999999,26.1,202107200830
谢旗营,河南省,焦作市,武陟县,794171,O4171,14,35.1347,113.4844,88,2021,7,20,8,30,999999,5.7,45,6.8,43,999999,21.7,999999,999999,999999,202107200830
张桥,河南省,许昌市,鄢陵县,796088,O6088,16,33.9578,114.2306,53,2021,7,20,8,30,999999,1.8,79,2.2,87,999999,29.3,97,999999,28.8,202107200830
下汤,河南省,平顶山市,鲁山县,796165,O6165,14,33.7292,112.6528,168,2021,7,20,8,30,999999,0.9,128,1.2,128,999999,27.6,999999,999999,999999,202107200830
茨沟,河南省,许昌市,襄城县,796062,O6062,14,33.83,113.6231,65,2021,7,20,8,30,999999,3.1,95,3.1,101,999999,29,999999,999999,999999,202107200830
高山,河南省,郑州市,荥阳市,794969,O4969,14,34.7856,113.2031,220,2021,7,20,8,30,999999,4.1,69,5.5,58,999999,21.8,999999,999999,999999,202107200830
库区,河南省,平顶山市,鲁山县,796162,O6162,14,33.7161,112.72,185,2021,7,20,8,30,999999,1.5,178,1.9,38,999999,28.4,84,999999,25.4,202107200830
原阳齐街,河南省,新乡市,原阳县,793802,O3802,14,35.0847,114.1781,72,2021,7,20,8,30,999999,5.3,223,5.5,222,999999,23.4,999999,999999,999999,202107200830
农科院,河南省,周口市,川汇区,792461,O2461,14,33.6439,114.6781,50,2021,7,20,8,30,999999,3.4,96,1.8,90,999999,30.6,999999,999999,999999,202107200830
任店,河南省,平顶山市,叶县,796321,O6321,14,33.6003,113.2739,92,2021,7,20,8,30,999999,1.4,218,1.3,222,999999,26.1,96,999999,25.4,202107200830
新乡小冀,河南省,新乡市,市辖区,793723,O3723,999999,35.2078,113.7353,61,2021,7,20,8,30,999999,8.1,41,6.9,40,999999,22.7,96,999999,22,202107200830
铁山,河南省,平顶山市,舞钢市,796330,O6330,14,33.33,113.5078,92.5,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
新地高,河南省,驻马店市,驿城区,792574,O2574,14,33.0069,113.9936,88,2021,7,20,8,30,999999,1.8,63,2.1,62,999999,29.2,87,999999,26.8,202107200830
获嘉大辛庄,河南省,新乡市,获嘉县,793673,O3673,14,35.1661,113.6272,79,2021,7,20,8,30,999999,5.2,45,6.2,49,999999,22.5,99,999999,22.3,202107200830
杨楼,河南省,南阳市,方城县,797314,O7314,16,33.3019,113.2817,110,2021,7,20,8,30,999999,1.3,2,1.5,1,999999,27,93,999999,25.8,202107200830
后荣,河南省,省直辖县级行政区划,济源市,792885,O2885,14,35.0603,112.7031,135,2021,7,20,8,30,999999,0.7,43,1.1,60,999999,22.3,100,999999,22.3,202107200830
曹镇,河南省,平顶山市,湛河区,796371,O6371,14,33.6681,113.2578,85,2021,7,20,8,30,999999,3.3,141,3.1,147,999999,28.1,92,999999,26.7,202107200830
纸坊水库,河南省,许昌市,禹州市,795918,O5918,14,34.2231,113.2308,274,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
吕店,河南省,驻马店市,西平县,797562,O7562,14,33.3775,113.7161,71.5,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
肖旗,河南省,平顶山市,宝丰县,792372,O2372,14,33.9219,113.0914,134,2021,7,20,8,30,999999,0,177,0,176,999999,27.4,999999,999999,999999,202107200830
封丘刘村,河南省,新乡市,封丘县,793887,O3887,14,35.1392,114.4189,71.4,2021,7,20,8,30,999999,5.8,49,5.2,47,999999,23.2,999999,999999,999999,202107200830
聂堆,河南省,周口市,西华县,796567,O6567,14,33.8894,114.5339,55,2021,7,20,8,30,999999,3.7,79,4.4,100,999999,29.7,89,999999,27.7,202107200830
汴岗,河南省,周口市,扶沟县,796527,O6527,14,33.9783,114.4889,57,2021,7,20,8,30,999999,2.7,86,3,90,999999,29.5,999999,999999,999999,202107200830
原阳,河南省,新乡市,原阳县,53989,53989,13,35.0828,113.9822,75.9,2021,7,20,8,30,1007.2,999998,999998,5.9,18,23.3,23,100,0.1,23,202107200830
新郑后湖,河南省,郑州市,新郑市,792250,O2250,14,34.6197,113.6694,184,2021,7,20,8,30,999999,999999,999999,2.7,139,999999,24.5,999999,999999,999999,202107200830
孙庄,河南省,开封市,龙亭区,792891,O2891,14,34.8856,114.3108,71,2021,7,20,8,30,999999,2.1,357,2.8,57,999999,23.8,999999,999999,999999,202107200830
获嘉,河南省,新乡市,获嘉县,53988,53988,13,35.2661,113.7197,77.4,2021,7,20,8,30,1007.8,999998,999998,6.7,36,22.8,22.6,98,0.2,22.3,202107200830
蔬菜所,河南省,周口市,扶沟县,796544,O6544,14,33.9875,114.4097,56,2021,7,20,8,30,999999,2.7,88,3.4,95,999999,29.2,999999,999999,999999,202107200830
曲梁,河南省,郑州市,新密市,794991,O4991,14,34.5164,113.5883,166,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
中心医院,河南省,郑州市,中原区,795126,O5126,14,34.74,113.6,122,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
东圈,河南省,新乡市,市辖区,793960,O3960,14,35.0375,113.7172,88,2021,7,20,8,30,999999,8.2,46,5.6,28,999999,22.7,999999,999999,999999,202107200830
张官营,河南省,平顶山市,鲁山县,796197,O6197,14,33.6125,113.1828,100.1,2021,7,20,8,30,999999,2.7,218,2.8,216,999999,25.2,91,999999,23.6,202107200830
郾城黑龙潭,河南省,漯河市,郾城区,792414,O2414,14,33.6667,114.0492,49,2021,7,20,8,30,999999,0.3,78,0,97,999999,29.4,999999,999999,999999,202107200830
平陌村,河南省,郑州市,新密市,792817,O2817,14,34.4531,113.2944,234,2021,7,20,8,30,999999,1.6,43,1.7,44,999999,23.4,98,999999,23.1,202107200830
河屯,河南省,郑州市,新密市,792815,O2815,14,34.4056,113.5133,134,2021,7,20,8,30,999999,3,173,1.8,159,999999,25.6,95,999999,24.7,202107200830
洛阳伊滨李村,河南省,洛阳市,市辖区,794715,O4715,14,34.6017,112.5867,151,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
禹州马坟,河南省,许昌市,禹州市,792805,O2805,14,34.2267,113.4514,171.5,2021,7,20,8,30,999999,4.8,113,4.2,108,999999,25.8,97,999999,25.3,202107200830
山化,河南省,洛阳市,偃师区,794724,O4724,14,34.7167,112.8619,113,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
发布中心,河南省,南阳市,宛城区,792893,O2893,14,33.0208,112.5769,127,2021,7,20,8,30,999999,0.5,91,0.6,102,999999,27.5,98,999999,27.1,202107200830
卫辉香泉水库,河南省,新乡市,卫辉市,792770,O2770,14,35.5619,113.9619,283,2021,7,20,8,30,999999,6.3,11,4.5,29,999999,22.1,100,999999,22.1,202107200830
傅村,河南省,平顶山市,郏县,792739,O2739,14,34.1014,113.0731,260,2021,7,20,8,30,999999,5.2,283,4.4,290,999999,24.2,93,999999,23,202107200830
斜纹,河南省,洛阳市,汝阳县,794826,O4826,14,34.0122,112.3614,570.4,2021,7,20,8,30,999999,1.9,346,2.1,2,999999,22.7,999999,999999,999999,202107200830
洛阳洛龙二外,河南省,洛阳市,市辖区,794849,O4849,14,34.5922,112.4225,131,2021,7,20,8,30,999999,2.2,359,1.1,0,999999,22.5,999999,999999,999999,202107200830
张八桥,河南省,平顶山市,宝丰县,792737,O2737,14,33.9142,112.9503,166,2021,7,20,8,30,999999,1.4,102,1.9,88,999999,25.9,91,999999,24.3,202107200830
阳城董封,山西省,晋城市,阳城县,668501,B8501,14,35.4764,112.2258,735,2021,7,20,8,30,999999,1.1,335,1.1,328,999999,20.6,999999,999999,999999,202107200830
竹林,河南省,郑州市,巩义市,794888,O4888,14,34.7069,113.1339,394.1,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
新安磁涧,河南省,洛阳市,新安县,792685,O2685,16,34.6842,112.2656,186.8,2021,7,20,8,30,999999,1.3,20,0.8,55,999999,22.2,90,999999,20.5,202107200830
高平云泉,山西省,晋城市,高平市,668408,B8408,14,35.8,113.0092,887,2021,7,20,8,30,999999,1.5,287,1.4,338,999999,19,999999,999999,999999,202107200830
五陵,河南省,安阳市,汤阴县,792640,O2640,14,35.8431,114.5756,64,2021,7,20,8,30,999999,2.9,68,2,116,999999,23.7,91,999999,22.1,202107200830
韩庄,河南省,安阳市,汤阴县,792639,O2639,14,35.9153,114.2839,105,2021,7,20,8,30,999999,1.8,309,2,95,999999,23.6,94,999999,22.6,202107200830
沁水苏庄,山西省,晋城市,沁水县,668428,B8428,14,35.8542,112.3669,839,2021,7,20,8,30,999999,2.9,31,2.3,42,999999,20.1,999999,999999,999999,202107200830
永兴,河南省,开封市,尉氏县,795196,O5196,14,34.2906,114.35,64,2021,7,20,8,30,999999,0.8,103,0.8,106,999999,27.3,97,999999,26.8,202107200830
清化,河南省,焦作市,博爱县,794054,O4054,14,35.1692,113.0758,129.1,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
双庙,河南省,焦作市,修武县,792666,O2666,16,35.3828,113.1939,950,2021,7,20,8,30,999999,9.8,138,8,138,999999,18.8,98,999999,18.5,202107200830
许昌二高,河南省,许昌市,市辖区,792349,O2349,14,34.0217,113.8689,67,2021,7,20,8,30,999999,1.3,85,0.8,114,999999,28.3,97,999999,27.8,202107200830
温县,河南省,焦作市,温县,57079,57079,13,34.9506,113.0406,106.4,2021,7,20,8,30,1006,999998,999998,7.2,73,22.8,22.2,98,0.1,21.9,202107200830
高平三甲,山西省,晋城市,高平市,668401,B8401,14,35.8561,112.9856,933,2021,7,20,8,30,999999,0,0,0,0,999999,18,98,999999,17.7,202107200830
思礼,河南省,省直辖县级行政区划,济源市,794243,O4243,14,35.1014,112.5008,180,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
黄庄,河南省,漯河市,召陵区,792407,O2407,14,33.5758,114.1578,64,2021,7,20,8,30,999999,0,56,0,56,999999,30,999999,999999,999999,202107200830
延津石婆固,河南省,新乡市,延津县,792095,O2095,14,35.2433,114.2214,70,2021,7,20,8,30,999999,999999,999999,3.4,38,999999,23.4,999999,999999,999999,202107200830
获嘉黄堤,河南省,新乡市,获嘉县,792086,O2086,14,35.2481,113.5506,81.5,2021,7,20,8,30,999999,999999,999999,7.8,38,999999,21.6,999999,999999,999999,202107200830
番田,河南省,焦作市,温县,794100,O4100,14,34.9864,112.9128,117.8,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
郑集,河南省,周口市,淮阳区,796672,O6672,14,33.7083,114.825,41,2021,7,20,8,30,999999,4.1,72,4,78,999999,30,999999,999999,999999,202107200830
西华营,河南省,周口市,西华县,796564,O6564,14,33.9411,114.6056,53,2021,7,20,8,30,999999,4.3,106,3.9,110,999999,29.7,999999,999999,999999,202107200830
大武,河南省,周口市,商水县,796702,O6702,14,33.4956,114.3436,49.5,2021,7,20,8,30,999999,3.6,80,4.2,81,999999,29.9,999999,999999,999999,202107200830
城关,河南省,安阳市,滑县,793186,O3186,14,35.5508,114.5603,58,2021,7,20,8,30,999999,2.9,29,2.6,29,999999,24.7,999999,999999,999999,202107200830
尚屯,河南省,商丘市,睢县,795457,O5457,14,34.4158,114.9897,55.1,2021,7,20,8,30,999999,2.7,76,3.4,78,999999,27.4,999999,999999,999999,202107200830
桑园,河南省,焦作市,中站区,792150,O2150,14,35.3267,113.1581,913,2021,7,20,8,30,999999,5.8,6,6.1,56,999999,18.6,999999,999999,999999,202107200830
柿园,河南省,开封市,杞县,795302,O5302,14,34.6656,114.7883,63,2021,7,20,8,30,999999,3.6,53,3.8,49,999999,26.5,999999,999999,999999,202107200830
白寺,河南省,周口市,商水县,796729,O6729,14,33.4356,114.4906,46.5,2021,7,20,8,30,999999,2.8,82,2.6,80,999999,31.3,999999,999999,999999,202107200830
五龙,河南省,安阳市,林州市,793008,O3008,14,35.7633,113.9172,311,2021,7,20,8,30,999999,0.7,10,0.8,44,999999,21.3,999999,999999,999999,202107200830
洛阳西工王城公园,河南省,洛阳市,市辖区,792227,O2227,14,34.6689,112.4133,183,2021,7,20,8,30,999999,999999,999999,2,89,999999,22.2,999999,999999,999999,202107200830
百里池,河南省,开封市,通许县,792277,O2277,16,34.4089,114.3675,63.1,2021,7,20,8,30,999999,2.8,82,3.1,84,999999,27.4,97,999999,26.9,202107200830
上二里,河南省,省直辖县级行政区划,济源市,794246,O4246,999999,35.125,112.2594,570,2021,7,20,8,30,999999,4.7,80,4.5,64,999999,21.3,999999,999999,999999,202107200830
牛店,河南省,郑州市,新密市,794985,O4985,14,34.5117,113.2619,315,2021,7,20,8,30,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,202107200830
新安王府庄,河南省,洛阳市,新安县,794653,O4653,999999,34.7561,112.255,252,2021,7,20,8,30,999999,2.1,354,1.8,218,999999,22,96,999999,21.3,202107200830
盘石头,河南省,鹤壁市,淇滨区,792643,O2643,16,35.9264,114.2269,215,2021,7,20,8,30,999999,1.5,210,1.8,202,999999,22.5,96,999999,21.8,202107200830
洛阳伊滨寇店一中,河南省,洛阳市,市辖区,794852,O4852,14,34.5867,112.6492,218,2021,7,20,8,30,999999,0,82,0.2,132,999999,22.2,999999,999999,999999,202107200830
泽州圪套水库,山西省,晋城市,泽州县,668536,B8536,14,35.5006,112.6986,894,2021,7,20,8,30,999999,0.5,3,0.4,74,999999,18.6,999999,999999,999999,202107200830
杨树郭,河南省,许昌市,襄城县,792798,O2798,14,33.8956,113.6106,81,2021,7,20,8,30,999999,2.3,68,1.6,74,999999,28.6,88,999999,26.4,202107200830
关白庄,河南省,焦作市,温县,792136,O2136,14,34.8717,113.0025,104.2,2021,7,20,8,30,999999,999999,999999,9.6,54,999999,21.7,999999,999999,999999,202107200830
气象局,河南省,省直辖县级行政区划,济源市,792851,O2851,14,35.0567,112.5956,148,2021,7,20,8,30,999999,0.9,357,0.9,355,999999,22.5,96,999999,21.8,202107200830
新站,河南省,周口市,淮阳区,796688,O6688,14,33.5744,114.8461,47,2021,7,20,8,30,999999,0.3,102,0.6,170,999999,30.2,999999,999999,999999,202107200830
新安鹰嘴山,河南省,洛阳市,新安县,794672,O4672,999999,34.9297,112.2164,421,2021,7,20,8,30,999999,2.1,177,2.3,55,999999,20.9,100,999999,20.9,202107200830
人和,河南省,驻马店市,西平县,797596,O7596,14,33.5064,114.0319,61,2021,7,20,8,30,999999,0,85,0,95,999999,29,85,999999,26.2,202107200830
