Station_Id_C,Station_Id_d,Lat,Lon,Year,Mon,Day,Hour,WIN_S_Avg_2mi,WIN_D_Avg_2mi,PRE_1h,Q_PRE_1h,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_S_INST_Max_OTime,PRS_Sea,TEM,RHU,DPT
Y1022,891022,38.4536,106.2569,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,33.7,999999,999999
X2030,882030,36.0606,98.1436,2021,7,20,9,2.3,60,0,0,5.3,78,801,999999,28.9,10,999999
W6296,876296,33.9703,104.6003,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W6231,876231,34.0222,104.4239,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W6258,876258,34.1536,105.0672,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W6245,876245,34.2767,104.2933,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y1320,891320,38.1069,106.3222,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,34.2,999999,999999
Y2807,892807,37.3617,106.1214,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,31.5,999999,999999
Y2052,892052,37.295,105.4481,2021,7,20,9,3.7,95,0,0,9.6,74,820,999999,32.4,28,999999
W5049,875049,34.2522,105.8119,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W8089,878089,36.2972,107.8056,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W3941,873941,36.2236,105.2044,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y1349,891349,38.2581,106.5139,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,32.5,999999,999999
W4172,874172,34.5047,104.1131,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W6398,876398,33.9628,106.2992,2021,7,20,9,0,999017,0,0,3.1,208,833,999999,31.6,52,999999
W9595,879595,33.7881,104.2933,2021,7,20,9,2.3,88,0,0,10.1,108,813,999999,30.9,35,999999
W5536,875536,34.7183,106.3633,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W4233,874233,35.0378,104.3142,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W7512,877512,35.1719,106.5147,2021,7,20,9,1.7,319,0,0,8.1,281,818,999999,24.8,60,999999
W6249,876249,34.0317,104.3453,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W5152,875152,34.5328,106.2208,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W7328,877328,35.1711,107.5236,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y6122,896122,37.4944,75.6594,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,9.8,999999,999999
B6932,666932,37.9431,113.7197,2021,7,20,9,999999,999999,2.7,0,999999,999999,999999,999999,22.6,999999,999999
Y1346,891346,37.7458,106.6136,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,32.8,999999,999999
W5336,875336,34.8603,105.2328,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W7618,877618,35.0981,106.9228,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W4279,874279,35.4561,104.5875,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W1012,871012,40.0886,94.6753,2021,7,20,9,7,228,0,0,12.6,250,855,999999,22.6,999999,999999
Y3315,893315,35.4983,106.4106,2021,7,20,9,3.6,126,0,0,7.3,147,820,999999,22.5,63,15
X1116,881116,35.8975,102.2697,2021,7,20,9,4.9,111,0,0,8.8,92,852,985.4,31.8,26,9.9
X4066,884066,37.2778,100.0153,2021,7,20,9,2.7,129,0,0,9.4,176,830,997.8,21.7,31,3.9
X5066,885066,36.0992,101.8792,2021,7,20,9,0.5,116,0,0,2.2,187,856,992.3,32.4,23,8.6
V7062,867062,34.1833,107.7,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,25.8,999999,999999
V4126,864126,33.5606,109.0956,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,29.8,999999,999999
W5633,875633,34.9819,106.1392,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W6073,876073,34.2181,105.2969,2021,7,20,9,2.2,101,0,0,6.1,108,824,999999,29.6,44,999999
W7318,877318,34.9919,107.5353,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y3215,893215,35.7508,106.0486,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.6,999999,999999
W6352,876352,33.9069,105.825,2021,7,20,9,2.2,197,0,0,4.7,160,846,999999,29.9,52,999999
Y1813,891813,38.8186,106.1283,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,30.9,999999,999999
W7522,877522,35.2731,106.5528,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W9506,879506,34.25,102.35,2021,7,20,9,3.4,227,0,0,4.8,216,828,999999,20.7,40,999999
V8524,868524,34.4056,109.1447,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.4,999999,999999
W8013,878013,36.002,107.5493,2021,7,20,9,4.5,143,0,0,9.1,140,814,999999,25,62,999999
W3025,873025,36.2764,103.43,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W2112,872112,39.0067,99.4917,2021,7,20,9,4.9,305,0,0,9,309,827,999999,25.4,29,999999
Y1806,891806,38.8775,106.2017,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,33.6,999999,999999
V4330,864330,33.4756,109.1689,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,24.7,999999,999999
W9641,879641,33.5808,104.3564,2021,7,20,9,3,111,0,0,8.2,128,826,999999,28.4,41,999999
B8065,668065,35.4933,111.1489,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.3,999999,999999
B6118,666118,37.68,111.1358,2021,7,20,9,3.9,129,0,0,10.7,149,808,1008.2,24.8,53,14.6
V2202,862202,39.2511,110.2489,2021,7,20,9,3.2,183,0,0,8.2,138,837,999999,31.5,999999,999999
V6205,866205,33.2939,108.0244,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,31.6,999999,999999
B8001,668001,35.7528,110.6556,2021,7,20,9,3,258,0,0,6,250,802,999999,23.9,999999,999999
Y2808,892808,37.4203,106.045,2021,7,20,9,4.6,151,0,0,10,115,842,999999,32.4,28,999999
Y2108,892108,37.2944,105.6314,2021,7,20,9,7,117,0,0,12.3,98,838,999999,32.5,26,999999
B8536,668536,35.5006,112.6986,2021,7,20,9,0.4,93,7.5,0,0.8,160,825,999999,18.1,999999,999999
X2084,882084,37.6181,97.7358,2021,7,20,9,5.1,140,0,0,8.8,144,832,999999,23,22,999999
B8305,668305,34.9425,110.3442,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.5,999999,999999
V7151,867151,34.4181,107.1989,2021,7,20,9,2.7,65,0,0,7.3,71,821,999999,26.8,999999,999999
B8161,668161,35.4181,111.0972,2021,7,20,9,4,65,0,0,10.7,42,827,999999,25.6,999999,999999
Y1118,891118,38.7117,106.3969,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,40.7,999999,999999
W3030,873030,36.4797,103.3883,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W4039,874039,35.4303,105.2647,2021,7,20,9,5.1,180,0,0,9,135,802,999999,27.3,49,999999
W6050,876050,33.1836,104.4072,2021,7,20,9,4.5,246,0,0,8.6,233,811,999999,33.2,36,999999
W8048,878048,35.4439,108.5728,2021,7,20,9,2.9,75,0,0,7.8,81,839,999999,23.1,71,999999
V7025,867025,34.95,106.61,2021,7,20,9,3.6,289,0,0,8.6,292,805,1005.6,19.1,68,13.1
W8115,878115,35.6031,108.1542,2021,7,20,9,2.8,60,0,0,6.7,54,819,999999,25.4,70,999999
W5507,875507,34.7361,106.3528,2021,7,20,9,4,158,0,0,6.7,107,815,999999,24.4,61,999999
V8054,868054,34.144,108.0305,2021,7,20,9,1.7,83,0,0,4.9,125,810,1004.3,28.6,65,21.4
V7128,867128,34.3275,107.3753,2021,7,20,9,0.4,112,0,0,6,122,843,999999,28.2,999999,999999
V7383,867383,34.7478,107.8531,2021,7,20,9,2,120,0,0,5.1,157,803,1005.6,22.5,88,20.4
V7113,867113,34.8456,107.2531,2021,7,20,9,3.2,120,0,0,7.2,129,803,999999,27.6,999999,999999
Y4055,894055,39.8192,75.6014,2021,7,20,9,1.6,72,0,0,5.6,129,839,999999,19.8,999999,999999
W8001,878001,37.1319,106.7929,2021,7,20,9,5.3,143,0,0,11.2,136,833,999999,29.7,35,999999
W2640,872640,37.9354,102.4873,2021,7,20,9,0.8,50,0,0,3.8,358,811,999999,34.4,20,999999
V6117,866117,33.1525,106.2,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,30.6,999999,999999
W7402,877402,35.3919,107.255,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,25.5,999999,999999
W3562,873562,36.4819,104.2958,2021,7,20,9,3.6,130,0,0,7.9,119,859,999999,33.9,22,999999
W2582,872582,37.8833,101.75,2021,7,20,9,5.4,268,0,0,11.1,275,832,999999,36.5,999999,999999
W1601,871601,39.8158,98.2225,2021,7,20,9,2.5,348,0,0,7.5,350,841,999999,30.1,27,999999
V4523,864523,33.3514,110.7167,2021,7,20,9,0.8,311,0,0,3.5,352,806,999999,25.7,999999,999999
V8053,868053,34.3006,108,2021,7,20,9,2.9,92,0,0,6,93,843,999999,27.8,999999,999999
W3107,873107,36.6681,103.8347,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,32.9,999999,999999
W7501,877501,35.238,106.8058,2021,7,20,9,2.4,239,0,0,5.4,214,825,999999,27.7,57,999999
V3902,863902,34.5239,110.0775,2021,7,20,9,1.9,314,0,0,4.4,20,819,999999,27,999999,999999
V3417,863417,35.6019,110.4672,2021,7,20,9,1.2,312,0,0,2.7,310,856,999999,24.2,999999,999999
B7749,667749,36.1878,113.0925,2021,7,20,9,999999,999999,2.8,0,999999,999999,999999,999999,17.3,999999,999999
B7741,667741,36.225,113.0539,2021,7,20,9,4,67,3.3,0,7.9,69,806,1008.1,18,93,16.9
B5006,665006,40.3858,113.9264,2021,7,20,9,1.4,172,0,0,5,209,806,999999,28.2,999999,999999
B7662,667662,36.4586,113.0761,2021,7,20,9,999999,999999,0.5,0,999999,999999,999999,999999,999999,999999,999999
V3222,863222,35.2583,109.4847,2021,7,20,9,2.5,91,0,0,7.1,112,802,999999,23.7,999999,999999
V5917,865917,33.6964,108.8375,2021,7,20,9,0.5,250,0.2,0,1.3,135,833,999999,23.2,999999,999999
W9671,879671,34.0283,102.1797,2021,7,20,9,1.3,133,0,0,6.9,113,835,999999,22.5,38,999999
V4226,864226,33.7094,109.8978,2021,7,20,9,1.4,254,0,0,3.3,274,849,999999,23.6,999999,999999
W2130,872130,38.0167,101.95,2021,7,20,9,3.2,30,0,0,13.4,334,807,999999,29.7,20,999999
V6719,866719,33.3661,107.3131,2021,7,20,9,1.4,201,0,0,4.6,193,837,999999,30,999999,999999
Y2021,892021,37.4631,105.1664,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,34.4,999999,999999
B6671,666671,37.4172,112.6989,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W3763,873763,37.1903,104.0461,2021,7,20,9,7.1,41,0,0,9.8,37,824,999999,32.3,24,999999
W8155,878155,36.91,106.7022,2021,7,20,9,5.2,199,0,0,9.7,179,813,999999,26.1,42,999999
W2043,872043,37.88,101.87,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.7,999999,999999
B6023,666023,38.5408,111.0186,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y2616,892616,37.0389,105.9033,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,31.3,999999,999999
Y3014,893014,35.9644,106.2669,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.1,999999,999999
B8258,668258,35.2497,110.9722,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
V6316,866316,33.0144,106.1744,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,33.2,999999,999999
V8485,868485,34.2025,109.2536,2021,7,20,9,1,53,0,0,3.2,62,815,999999,26.9,77,999999
X1127,881127,36.0272,102.9047,2021,7,20,9,2.7,59,0,0,6.5,170,822,994.8,29.2,30,9.9
B7425,667425,35.7733,111.8067,2021,7,20,9,5.1,42,0,0,8.7,46,808,1008.3,24,71,18.4
X2038,882038,37.4431,96.3217,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,23,999999,999999
Y1125,891125,38.6061,106.4264,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,40,999999,999999
X1004,881004,36.7542,102.1217,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.4,999999,999999
W5208,875208,34.9383,105.74,2021,7,20,9,5.1,119,0,0,9.2,119,810,999999,27.8,52,999999
W6097,876097,34.0683,104.2969,2021,7,20,9,3,88,0,0,7.6,87,817,999999,28.1,44,999999
B7163,667163,36.3481,111.3036,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,23.5,999999,999999
W6162,876162,33.4006,104.9,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,33,999999,999999
W4071,874071,34.9575,104.7239,2021,7,20,9,2.5,121,0,0,7.6,126,850,999999,29.2,51,999999
B6472,666472,37.5708,112.3781,2021,7,20,9,4.8,32,0,0,9.3,20,847,999999,25.9,65,18.8
X1080,881080,36.9664,102.0731,2021,7,20,9,4.5,25,0.2,0,9.6,59,823,999.4,21.7,59,13.4
B6131,666131,37.6856,111.0378,2021,7,20,9,6,88,0,0,8.8,133,830,1007,24.1,51,13.4
V8452,868452,34.2042,109.5019,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,24.9,999999,999999
X2042,882042,37.8583,95.4125,2021,7,20,9,6.5,185,0,0,11.7,162,809,983.2,25.9,18,-0.2
B6090,666090,37.6708,110.9517,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,28.5,999999,999999
B6343,666343,37.0728,110.6531,2021,7,20,9,6.1,133,0,0,9.3,128,840,1007.4,23.8,63,16.3
V1506,861506,36.3378,110.2739,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,23.7,999999,999999
V2915,862915,37.6189,110.3667,2021,7,20,9,5,165,0,0,8.2,132,842,1006.5,30.1,42,15.8
Y3219,893219,35.4433,105.9047,2021,7,20,9,4,164,0,0,7.6,157,817,999999,25.8,50,14.6
X9055,889055,36.4336,102.605,2021,7,20,9,999999,999999,999999,7,999999,999999,999999,999999,32.2,28,11.4
X1002,881002,36.1222,102.7764,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,31.8,999999,999999
Y2012,892012,37.2372,105.2167,2021,7,20,9,9.9,96,0,0,14.3,92,857,999999,30.6,32,12
V0104,860104,35.2392,107.8292,2021,7,20,9,8.2,131,0,0,11,131,900,999999,26.3,999999,999999
B6103,666103,37.8583,111.3056,2021,7,20,9,1.3,150,0.1,0,3.8,122,803,1011.5,24.7,50,13.6
B8372,668372,34.6928,110.6339,2021,7,20,9,1.7,148,0,0,2.9,139,804,1005.5,24.2,89,22.3
B8335,668335,34.8975,111.5217,2021,7,20,9,3.6,202,0.4,0,5.8,232,801,999.3,21.7,97,21.2
W9665,879665,34.1047,103.2575,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
B6470,666470,37.5172,112.3019,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.1,999999,999999
V2707,862707,37.7653,110.0689,2021,7,20,9,2.7,68,0,0,9.1,85,831,1003.9,29.5,43,15.6
V8556,868556,34.3253,109.1614,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.5,999999,999999
Y3240,893240,35.5531,106.165,2021,7,20,9,5.7,102,0,0,10.3,112,834,999999,20.7,63,13.4
B6480,666480,37.9339,111.8975,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,21.5,999999,999999
B6135,666135,37.395,111.5033,2021,7,20,9,4.7,102,0,0,10,82,809,1024.2,22.2,68,16
B5762,665762,38.5153,112.8386,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
W3473,873473,36.7077,103.8337,2021,7,20,9,0.8,28,0,0,5.7,30,839,999999,34,27,999999
W2548,872548,38.2831,102.6639,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,36.5,999999,999999
W7201,877201,35.3669,105.9717,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.9,999999,999999
W6033,876033,33.2167,105.0667,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,33.6,999999,999999
B6751,666751,36.8972,111.9264,2021,7,20,9,1.8,195,0,0,3.7,194,837,1007.9,24.9,65,17.9
V3338,863338,35.0136,109.585,2021,7,20,9,5.3,60,0,0,9.7,14,807,999999,27.8,999999,999999
V8810,868810,34.1792,109.1425,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,25.3,999999,999999
V2904,862904,37.5708,110.1622,2021,7,20,9,4.4,144,0,0,8.1,151,834,999999,29.4,999999,999999
V2308,862308,37.4497,107.3219,2021,7,20,9,3.2,145,0,0,10.1,158,816,999999,31.2,999999,999999
Y2403,892403,37.6278,106.2786,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,31.8,999999,999999
Y2716,892716,38.0261,105.9486,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,33.5,999999,999999
Y2109,892109,37.4994,105.6328,2021,7,20,9,2.5,169,0,0,8.1,125,826,999999,33.5,999999,999999
B7005,667005,36.8669,110.475,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,25.3,999999,999999
W5115,875115,34.5206,106.0208,2021,7,20,9,2.7,267,0,0,5.3,233,829,999999,26.1,60,999999
W7104,877104,35.4233,107.0497,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.7,999999,999999
B7198,667198,36.2072,111.8169,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,25.6,999999,999999
B5634,665634,39.0939,111.58,2021,7,20,9,0,999017,0,0,5.1,315,832,1006.2,29.4,39,999999
W6099,876099,34.0933,104.4033,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.6,999999,999999
V8870,868870,34.3056,108.9383,2021,7,20,9,1.2,157,0,0,5.1,74,848,999999,27.7,88,999999
V1813,861813,35.8344,109.2989,2021,7,20,9,0.8,87,0.1,0,5.2,116,814,1007.5,20.7,94,19.7
Y1714,891714,37.4936,105.7622,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,33.8,999999,999999
B6146,666146,37.5258,111.1758,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.6,999999,999999
B7008,667008,36.8778,110.7281,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,25.5,999999,999999
Y1097,891097,38.5836,106.0117,2021,7,20,9,999999,999999,999999,7,999999,999999,999999,999999,32.5,40,999999
V0705,860705,34.6083,108.5236,2021,7,20,9,4.9,98,0,0,7.8,172,826,999999,27,67,999999
B7212,667212,36.1772,112.0269,2021,7,20,9,4.5,51,0,0,12,57,844,999999,20.5,999999,999999
B7159,667159,36.4153,111.1719,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,25.2,999999,999999
V3421,863421,35.4975,110.4922,2021,7,20,9,2.4,132,0,0,7.4,104,812,999999,27.3,62,999999
B8273,668273,35.2489,111.1939,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
B7616,667616,36.48,112.8506,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
Y1309,891309,37.8867,106.3944,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,34,999999,999999
B7250,667250,36.1508,110.6447,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,24.4,999999,999999
B7216,667216,36.5269,112.0439,2021,7,20,9,5.7,64,0,0,8.6,52,847,999999,18.7,999999,999999
B5649,665649,38.86,111.8828,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,999999,999999,999999
B7309,667309,36.1714,112.4997,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,21.5,999999,999999
V3137,863137,34.8039,109.2333,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,27.6,999999,999999
V7116,867116,34.6714,107.2208,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26,999999,999999
V7152,867152,34.4711,107.105,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,29.5,999999,999999
W2501,872501,38.4158,102.8922,2021,7,20,9,2.7,70,0,0,11.2,78,819,999999,36.7,999999,999999
B6603,666603,37.5033,113.5019,2021,7,20,9,3.6,144,0,0,7,137,823,1013.7,19.3,85,16.7
B8068,668068,35.6578,111.1975,2021,7,20,9,6,59,0,0,10.6,22,810,999999,28.3,999999,999999
V0713,860713,34.3908,108.4289,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.9,999999,999999
W9022,879022,35.3356,103.4919,2021,7,20,9,4.5,3,0,0,9.5,0,838,999999,26.4,100,999999
B6522,666522,37.9139,112.5711,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,24.3,999999,999999
B5212,665212,39.5389,114.3569,2021,7,20,9,3.6,196,0,0,7.7,202,840,999999,24,999999,999999
W2088,872088,39.0672,100.3581,2021,7,20,9,4.5,199,0,0,6.2,196,900,999999,34.5,999999,999999
B7274,667274,36.1228,111.5317,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,28.4,999999,999999
B5459,665459,39.4136,111.2169,2021,7,20,9,0.8,68,0,0,3.2,126,804,999999,28.7,999999,999999
V4028,864028,34.2547,109.8397,2021,7,20,9,0.9,54,0,0,2.4,197,822,1005.9,21.3,81,17.9
W7021,877021,35.6161,105.6839,2021,7,20,9,0.9,161,0,0,3.9,199,836,999999,28,45,999999
V3025,863025,34.7158,109.4325,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,28,999999,999999
V3126,863126,34.9247,109.2417,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.2,999999,999999
W2062,872062,38.6325,101.1347,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,33,999999,999999
V7330,867330,34.3919,107.9231,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.9,999999,999999
V4514,864514,33.5214,110.9414,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,28.2,999999,999999
V0504,860504,34.4842,108.8019,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.9,999999,999999
53692,53692,38.7333,114.9833,2021,7,20,9,0.2,999017,0,0,2.1,109,809,1009.7,31.3,64,23.7
W5121,875121,34.5139,105.8461,2021,7,20,9,3.6,83,0,0,8.1,75,858,999999,27.4,52,999999
V3005,863005,34.4594,109.5161,2021,7,20,9,999999,999999,0,0,999999,999999,999999,999999,26.4,999999,999999
